Uptake,Pro_plum,Prop2,Pump,Cost_diff,WTP
17.4229747,0.554892601,0.397374702,503.626,0.687,0.18
44.1185156,0.386920981,0.595519225,552.358,0.618,0.194
24.32326016,0.901785714,0.083104396,475.786,0.621,0.157
36.66699478,0.192102455,0.790110281,432.372,0.47,0.161
40.11221577,0.283638661,0.694567277,521.315,0.601,0.189
20.5138301,0.899657925,0.090079818,584.493,0.675,0.18
23.39797224,0.964423821,0.028615623,513.263,0.657,0.149
17.61000098,0.672131148,0.301912568,495.391,0.622,0.179
32.21773797,0.464075915,0.523271577,631.162,0.675,0.178
44.48272468,0.138023152,0.845354705,584.025,0.603,0.199
23.41765922,0.967688484,0.027340514,451.35,0.574,0.143
26.04587066,0.768444949,0.221906924,455.383,0.417,0.143
18.52544542,0.811074919,0.144408252,598.767,0.554,0.153
19.12589822,0.706971678,0.259259259,602.794,0.616,0.17
39.17708436,0.12138534,0.862138534,478.486,0.508,0.198
22.81720642,0.995110024,0.002444988,459.027,0.677,0.146
27.03021951,0.141361257,0.831878999,634.766,0.567,0.179
42.67152279,0.06604681,0.906700866,490.733,0.561,0.194
44.35475933,0.052880601,0.92541052,524.799,0.463,0.166
12.58982183,0.619596542,0.319884726,600.369,0.432,0.144
39.43301506,0.061596696,0.92532691,516.039,0.492,0.192
18.69278472,0.902132999,0.070263488,538.245,0.631,0.15
14.96210257,0.770134228,0.179530201,619.791,0.678,0.176
29.31390885,0.094555874,0.872206304,589.219,0.643,0.176
25.6619746,0.703677511,0.286421499,462.551,0.663,0.181
22.30534501,0.988685814,0.006092254,535.731,0.682,0.149
27.73895068,0.532110092,0.459794927,534.303,0.667,0.199
28.09331627,0.014371257,0.961676647,591.011,0.467,0.187
66.27620829,0.006891677,0.969959357,584.338,0.525,0.193
31.34166749,0.982914573,0.016080402,500.175,0.558,0.142
43.91180234,0.186607143,0.80297619,493.112,0.407,0.154
23.62437248,0.987606507,0.007745933,485.156,0.633,0.153
63.09676149,0.003094285,0.975791773,526.49,0.413,0.178
20.0019687,0.876363636,0.073939394,528.358,0.599,0.143
21.57692686,0.994970662,0.002514669,464.826,0.691,0.146
17.34422679,0.208053691,0.724832215,628.665,0.7,0.187
64.02204941,0.249596268,0.74268796,469.512,0.658,0.194
19.39167241,0.729468599,0.229468599,521.788,0.454,0.154
50.28053942,0.512390294,0.474445018,484.825,0.567,0.194
47.6424845,0.042691165,0.94217779,576.781,0.404,0.176
68.77645438,0.009495252,0.973679827,546.563,0.469,0.185
73.97381632,0.006221088,0.972722922,444.702,0.402,0.19
66.99478295,0.043349582,0.936455432,582.132,0.54,0.194
18.65341077,0.936528497,0.047927461,496.433,0.688,0.166
59.69091446,0.15259803,0.82769944,526.43,0.609,0.189
29.50093513,0.048704663,0.932124352,594.126,0.491,0.175
42.55340093,0.244146113,0.748673119,500.048,0.434,0.154
20.99616104,0.723902439,0.251707317,435.828,0.498,0.162
16.97017423,0.654761905,0.291666667,559.231,0.695,0.185
11.42829019,0.737089202,0.197183099,546.692,0.633,0.162
53.81435181,0.027400468,0.958313817,561.334,0.453,0.169
32.5327296,0.090299508,0.892266428,579.326,0.562,0.187
29.59937002,0.088566828,0.892109501,558.014,0.406,0.159
54.65104833,0.005456133,0.974247054,634.94,0.479,0.191
19.61807264,0.927254098,0.049180328,492.185,0.596,0.154
42.29747022,0.216216216,0.773363725,611.764,0.637,0.195
16.49768678,0.865771812,0.098434004,559.392,0.584,0.146
21.458805,0.958009331,0.030326594,475.637,0.651,0.161
44.68943794,0.563711098,0.424251321,463.599,0.622,0.188
71.08967418,0.023628419,0.962938987,430.16,0.447,0.195
15.74958165,0.664788732,0.26056338,584.179,0.471,0.146
65.86278177,0.08941258,0.900017328,511.341,0.543,0.197
34.45220986,0.425974026,0.561904762,535.131,0.638,0.193
39.46254553,0.005502063,0.977991747,623.196,0.422,0.168
13.28870952,0.606779661,0.33559322,536.451,0.596,0.173
74.91879122,0.001652893,0.981818182,601.432,0.403,0.195
12.77684811,0.774798928,0.155495979,610.213,0.551,0.141
71.31607442,0.104275457,0.887075718,459.591,0.529,0.195
29.24500443,0.161643836,0.811506849,622.988,0.673,0.195
74.64317354,0.009953944,0.976823652,624.475,0.47,0.195
19.9133773,0.904069767,0.075581395,430.222,0.467,0.14
36.83433409,0.377425743,0.609108911,488.282,0.571,0.173
24.33310365,0.906836965,0.084147258,455.061,0.566,0.163
13.8202579,0.857534247,0.123287671,613.597,0.652,0.164
37.38556945,0.196544276,0.786897048,616.939,0.63,0.192
26.73491485,0.971540179,0.020647321,533.589,0.613,0.15
75.30268727,0.005944001,0.965900203,577.55,0.511,0.194
47.9870066,0.034463895,0.94666302,530.011,0.414,0.157
17.80687075,0.968481375,0.024355301,490.096,0.696,0.167
14.40102372,0.490566038,0.433962264,449.581,0.452,0.165
16.45831283,0.96836983,0.01703163,575.002,0.674,0.149
36.87370804,0.201728024,0.78324568,605.833,0.532,0.167
25.20917413,0.016343826,0.963680387,630.556,0.471,0.181
72.43823211,0.023170925,0.965878432,501.826,0.408,0.173
